Expiry;UnderlyingTenor;Strike;Volatility
6M;3Y;-75bp;0.005995
6M;3Y;-50bp;0.005394
6M;3Y;-25bp;0.004924
6M;3Y;ATM;0.004754
6M;3Y;25bp;0.004992
6M;3Y;50bp;0.005505
6M;3Y;75bp;0.006131
6M;3Y;100bp;0.006793
6M;3Y;150bp;0.008127
6M;3Y;200bp;0.009431
6M;3Y;250bp;0.010695
6M;3Y;300bp;0.011922
6M;3Y;350bp;0.013118
6M;4Y;-350bp;0.012406
6M;4Y;-300bp;0.011297
6M;4Y;-250bp;0.010162
6M;4Y;-200bp;0.008998
6M;4Y;-150bp;0.007808
6M;4Y;-100bp;0.006613
6M;4Y;-75bp;0.00604
6M;4Y;-50bp;0.005526
6M;4Y;-25bp;0.005156
6M;4Y;ATM;0.005059
6M;4Y;25bp;0.005296
6M;4Y;50bp;0.005763
6M;4Y;75bp;0.006337
6M;4Y;100bp;0.006952
6M;4Y;150bp;0.008206
6M;4Y;200bp;0.009441
6M;4Y;250bp;0.010644
6M;4Y;300bp;0.011814
6M;4Y;350bp;0.012955
6M;5Y;-350bp;0.012066
6M;5Y;-300bp;0.011015
6M;5Y;-250bp;0.009942
6M;5Y;-200bp;0.008845
6M;5Y;-150bp;0.007733
6M;5Y;-100bp;0.006633
6M;5Y;-75bp;0.00612
6M;5Y;-50bp;0.005678
6M;5Y;-25bp;0.005384
6M;5Y;ATM;0.005337
6M;5Y;25bp;0.005569
6M;5Y;50bp;0.005999
6M;5Y;75bp;0.00653
6M;5Y;100bp;0.007105
6M;5Y;150bp;0.00829
6M;5Y;200bp;0.009466
6M;5Y;250bp;0.010617
6M;5Y;300bp;0.011739
6M;5Y;350bp;0.012834
6M;6Y;-350bp;0.01192
6M;6Y;-300bp;0.01089
6M;6Y;-250bp;0.009838
6M;6Y;-200bp;0.008766
6M;6Y;-150bp;0.007683
6M;6Y;-100bp;0.006622
6M;6Y;-75bp;0.006135
6M;6Y;-50bp;0.005726
6M;6Y;-25bp;0.005471
6M;6Y;ATM;0.005459
6M;6Y;25bp;0.00571
6M;6Y;50bp;0.006143
6M;6Y;75bp;0.006672
6M;6Y;100bp;0.007242
6M;6Y;150bp;0.008417
6M;6Y;200bp;0.009585
6M;6Y;250bp;0.010728
6M;6Y;300bp;0.011843
6M;6Y;350bp;0.012932
6M;7Y;-350bp;0.011773
6M;7Y;-300bp;0.010763
6M;7Y;-250bp;0.009732
6M;7Y;-200bp;0.008685
6M;7Y;-150bp;0.007629
6M;7Y;-100bp;0.006607
6M;7Y;-75bp;0.006145
6M;7Y;-50bp;0.005768
6M;7Y;-25bp;0.00555
6M;7Y;ATM;0.005571
6M;7Y;25bp;0.005838
6M;7Y;50bp;0.006275
6M;7Y;75bp;0.0068
6M;7Y;100bp;0.007366
6M;7Y;150bp;0.008531
6M;7Y;200bp;0.00969
6M;7Y;250bp;0.010825
6M;7Y;300bp;0.011933
6M;7Y;350bp;0.013015
6M;8Y;-350bp;0.011639
6M;8Y;-300bp;0.010647
6M;8Y;-250bp;0.009637
6M;8Y;-200bp;0.008612
6M;8Y;-150bp;0.007585
6M;8Y;-100bp;0.006599
6M;8Y;-75bp;0.006162
6M;8Y;-50bp;0.005817
6M;8Y;-25bp;0.005635
6M;8Y;ATM;0.005687
6M;8Y;25bp;0.005969
6M;8Y;50bp;0.00641
6M;8Y;75bp;0.006934
6M;8Y;100bp;0.007495
6M;8Y;150bp;0.008652
6M;8Y;200bp;0.009804
6M;8Y;250bp;0.010932
6M;8Y;300bp;0.012034
6M;8Y;350bp;0.01311
6M;9Y;-350bp;0.011466
6M;9Y;-300bp;0.010495
6M;9Y;-250bp;0.009508
6M;9Y;-200bp;0.008509
6M;9Y;-150bp;0.007512
6M;9Y;-100bp;0.006566
6M;9Y;-75bp;0.006156
6M;9Y;-50bp;0.005843
6M;9Y;-25bp;0.005696
6M;9Y;ATM;0.005778
6M;9Y;25bp;0.006075
6M;9Y;50bp;0.006519
6M;9Y;75bp;0.007041
6M;9Y;100bp;0.007598
6M;9Y;150bp;0.008744
6M;9Y;200bp;0.009886
6M;9Y;250bp;0.011004
6M;9Y;300bp;0.012097
6M;9Y;350bp;0.013165
6M;10Y;-350bp;0.011288
6M;10Y;-300bp;0.010343
6M;10Y;-250bp;0.009384
6M;10Y;-200bp;0.008416
6M;10Y;-150bp;0.007456
6M;10Y;-100bp;0.00656
6M;10Y;-75bp;0.006183
6M;10Y;-50bp;0.005909
6M;10Y;-25bp;0.005802
6M;10Y;ATM;0.005912
6M;10Y;25bp;0.006222
6M;10Y;50bp;0.006664
6M;10Y;75bp;0.007178
6M;10Y;100bp;0.007727
6M;10Y;150bp;0.008856
6M;10Y;200bp;0.009981
6M;10Y;250bp;0.011084
6M;10Y;300bp;0.012163
6M;10Y;350bp;0.013218
6M;15Y;-350bp;0.011692
6M;15Y;-300bp;0.010717
6M;15Y;-250bp;0.009727
6M;15Y;-200bp;0.008725
6M;15Y;-150bp;0.007728
6M;15Y;-100bp;0.006786
6M;15Y;-75bp;0.006379
6M;15Y;-50bp;0.006066
6M;15Y;-25bp;0.005913
6M;15Y;ATM;0.005976
6M;15Y;25bp;0.006248
6M;15Y;50bp;0.006667
6M;15Y;75bp;0.007169
6M;15Y;100bp;0.007711
6M;15Y;150bp;0.008838
6M;15Y;200bp;0.009966
6M;15Y;250bp;0.011075
6M;15Y;300bp;0.01216
6M;15Y;350bp;0.013222
6M;20Y;-350bp;0.012023
6M;20Y;-300bp;0.011025
6M;20Y;-250bp;0.01001
6M;20Y;-200bp;0.008982
6M;20Y;-150bp;0.007956
6M;20Y;-100bp;0.006976
6M;20Y;-75bp;0.006544
6M;20Y;-50bp;0.0062
6M;20Y;-25bp;0.006006
6M;20Y;ATM;0.006024
6M;20Y;25bp;0.006259
6M;20Y;50bp;0.006653
6M;20Y;75bp;0.00714
6M;20Y;100bp;0.007674
6M;20Y;150bp;0.008792
6M;20Y;200bp;0.009917
6M;20Y;250bp;0.011026
6M;20Y;300bp;0.012112
6M;20Y;350bp;0.013176
6M;25Y;-350bp;0.012584
6M;25Y;-300bp;0.011531
6M;25Y;-250bp;0.010458
6M;25Y;-200bp;0.009369
6M;25Y;-150bp;0.008275
6M;25Y;-100bp;0.00722
6M;25Y;-75bp;0.006746
6M;25Y;-50bp;0.006356
6M;25Y;-25bp;0.006117
6M;25Y;ATM;0.006104
6M;25Y;25bp;0.006329
6M;25Y;50bp;0.006733
6M;25Y;75bp;0.007238
6M;25Y;100bp;0.007795
6M;25Y;150bp;0.008961
6M;25Y;200bp;0.010135
6M;25Y;250bp;0.011291
6M;25Y;300bp;0.012422
6M;25Y;350bp;0.013529
6M;30Y;-350bp;0.013201
6M;30Y;-300bp;0.012087
6M;30Y;-250bp;0.010952
6M;30Y;-200bp;0.009796
6M;30Y;-150bp;0.00863
6M;30Y;-100bp;0.007493
6M;30Y;-75bp;0.006972
6M;30Y;-50bp;0.006532
6M;30Y;-25bp;0.006244
6M;30Y;ATM;0.006192
6M;30Y;25bp;0.006404
6M;30Y;50bp;0.006815
6M;30Y;75bp;0.007339
6M;30Y;100bp;0.007919
6M;30Y;150bp;0.009137
6M;30Y;200bp;0.010362
6M;30Y;250bp;0.011567
6M;30Y;300bp;0.012746
6M;30Y;350bp;0.0139
9M;1Y;-350bp;0.012612
9M;1Y;-300bp;0.011409
9M;1Y;-250bp;0.010171
9M;1Y;-200bp;0.008893
9M;1Y;-150bp;0.007565
9M;1Y;-100bp;0.006182
9M;1Y;-75bp;0.005476
9M;1Y;-50bp;0.00478
9M;1Y;-25bp;0.00416
9M;1Y;ATM;0.003824
9M;1Y;25bp;0.004016
9M;1Y;50bp;0.004558
9M;1Y;75bp;0.005211
9M;1Y;100bp;0.005885
9M;1Y;150bp;0.007219
9M;1Y;200bp;0.008507
9M;1Y;250bp;0.00975
9M;1Y;300bp;0.010954
9M;1Y;350bp;0.012125
9M;2Y;-350bp;0.011703
9M;2Y;-300bp;0.010662
9M;2Y;-250bp;0.009595
9M;2Y;-200bp;0.0085
9M;2Y;-150bp;0.00738
9M;2Y;-100bp;0.006252
9M;2Y;-75bp;0.005707
9M;2Y;-50bp;0.005214
9M;2Y;-25bp;0.004847
9M;2Y;ATM;0.004725
9M;2Y;25bp;0.004914
9M;2Y;50bp;0.005328
9M;2Y;75bp;0.005851
9M;2Y;100bp;0.006415
9M;2Y;150bp;0.007571
9M;2Y;200bp;0.008713
9M;2Y;250bp;0.009827
9M;2Y;300bp;0.010911
9M;2Y;350bp;0.011968
9M;3Y;-350bp;0.011456
9M;3Y;-300bp;0.010463
9M;3Y;-250bp;0.009447
9M;3Y;-200bp;0.008409
9M;3Y;-150bp;0.007355
9M;3Y;-100bp;0.00631
9M;3Y;-75bp;0.005819
9M;3Y;-50bp;0.00539
9M;3Y;-25bp;0.005092
9M;3Y;ATM;0.005019
9M;3Y;25bp;0.00521
9M;3Y;50bp;0.005593
9M;3Y;75bp;0.006079
9M;3Y;100bp;0.006609
9M;3Y;150bp;0.007708
9M;3Y;200bp;0.008803
9M;3Y;250bp;0.009875
9M;3Y;300bp;0.010922
9M;3Y;350bp;0.011944
9M;4Y;-350bp;0.01121
9M;4Y;-300bp;0.010262
9M;4Y;-250bp;0.009294
9M;4Y;-200bp;0.00831
9M;4Y;-150bp;0.007319
9M;4Y;-100bp;0.006354
9M;4Y;-75bp;0.005914
9M;4Y;-50bp;0.005546
9M;4Y;-25bp;0.005313
9M;4Y;ATM;0.005286
9M;4Y;25bp;0.005484
9M;4Y;50bp;0.005849
9M;4Y;75bp;0.006308
9M;4Y;100bp;0.006811
9M;4Y;150bp;0.007863
9M;4Y;200bp;0.008918
9M;4Y;250bp;0.009955
9M;4Y;300bp;0.010969
9M;4Y;350bp;0.01196
9M;5Y;-350bp;0.010986
9M;5Y;-300bp;0.010077
9M;5Y;-250bp;0.009152
9M;5Y;-200bp;0.008215
9M;5Y;-150bp;0.007279
9M;5Y;-100bp;0.006383
9M;5Y;-75bp;0.005986
9M;5Y;-50bp;0.005667
9M;5Y;-25bp;0.005481
9M;5Y;ATM;0.005484
9M;5Y;25bp;0.005684
9M;5Y;50bp;0.006032
9M;5Y;75bp;0.006467
9M;5Y;100bp;0.006946
9M;5Y;150bp;0.007953
9M;5Y;200bp;0.00897
9M;5Y;250bp;0.009973
9M;5Y;300bp;0.010955
9M;5Y;350bp;0.011917
9M;6Y;-350bp;0.010843
9M;6Y;-300bp;0.009952
9M;6Y;-250bp;0.009046
9M;6Y;-200bp;0.00813
9M;6Y;-150bp;0.00722
9M;6Y;-100bp;0.006358
9M;6Y;-75bp;0.005984
9M;6Y;-50bp;0.005692
9M;6Y;-25bp;0.005536
9M;6Y;ATM;0.005566
9M;6Y;25bp;0.005782
9M;6Y;50bp;0.006136
9M;6Y;75bp;0.006572
9M;6Y;100bp;0.007049
9M;6Y;150bp;0.00805
9M;6Y;200bp;0.00906
9M;6Y;250bp;0.010056
9M;6Y;300bp;0.011032
9M;6Y;350bp;0.011989
9M;7Y;-350bp;0.010735
9M;7Y;-300bp;0.009858
9M;7Y;-250bp;0.008968
9M;7Y;-200bp;0.008071
9M;7Y;-150bp;0.007182
9M;7Y;-100bp;0.006352
9M;7Y;-75bp;0.005998
9M;7Y;-50bp;0.005731
9M;7Y;-25bp;0.005604
9M;7Y;ATM;0.005658
9M;7Y;25bp;0.005891
9M;7Y;50bp;0.006252
9M;7Y;75bp;0.006688
9M;7Y;100bp;0.007165
9M;7Y;150bp;0.008163
9M;7Y;200bp;0.009169
9M;7Y;250bp;0.010162
9M;7Y;300bp;0.011136
9M;7Y;350bp;0.012089
9M;8Y;-350bp;0.010616
9M;8Y;-300bp;0.009754
9M;8Y;-250bp;0.008882
9M;8Y;-200bp;0.008005
9M;8Y;-150bp;0.007141
9M;8Y;-100bp;0.006345
9M;8Y;-75bp;0.006013
9M;8Y;-50bp;0.005773
9M;8Y;-25bp;0.005675
9M;8Y;ATM;0.005754
9M;8Y;25bp;0.006001
9M;8Y;50bp;0.006368
9M;8Y;75bp;0.006806
9M;8Y;100bp;0.007281
9M;8Y;150bp;0.008274
9M;8Y;200bp;0.009276
9M;8Y;250bp;0.010264
9M;8Y;300bp;0.011233
9M;8Y;350bp;0.012182
9M;9Y;-350bp;0.010498
9M;9Y;-300bp;0.009652
9M;9Y;-250bp;0.008797
9M;9Y;-200bp;0.00794
9M;9Y;-150bp;0.007102
9M;9Y;-100bp;0.006339
9M;9Y;-75bp;0.006031
9M;9Y;-50bp;0.005818
9M;9Y;-25bp;0.005748
9M;9Y;ATM;0.00585
9M;9Y;25bp;0.006112
9M;9Y;50bp;0.006485
9M;9Y;75bp;0.006924
9M;9Y;100bp;0.007398
9M;9Y;150bp;0.008388
9M;9Y;200bp;0.009385
9M;9Y;250bp;0.010368
9M;9Y;300bp;0.011333
9M;9Y;350bp;0.012279
9M;10Y;-350bp;0.010328
9M;10Y;-300bp;0.009504
9M;10Y;-250bp;0.008672
9M;10Y;-200bp;0.007841
9M;10Y;-150bp;0.007034
9M;10Y;-100bp;0.006313
9M;10Y;-75bp;0.006031
9M;10Y;-50bp;0.005848
9M;10Y;-25bp;0.005808
9M;10Y;ATM;0.005933
9M;10Y;25bp;0.006206
9M;10Y;50bp;0.006582
9M;10Y;75bp;0.007019
9M;10Y;100bp;0.00749
9M;10Y;150bp;0.008468
9M;10Y;200bp;0.009454
9M;10Y;250bp;0.010427
9M;10Y;300bp;0.011382
9M;10Y;350bp;0.012317
9M;15Y;-350bp;0.010707
9M;15Y;-300bp;0.009859
9M;15Y;-250bp;0.009002
9M;15Y;-200bp;0.008144
9M;15Y;-150bp;0.007307
9M;15Y;-100bp;0.006547
9M;15Y;-75bp;0.006239
9M;15Y;-50bp;0.006023
9M;15Y;-25bp;0.005942
9M;15Y;ATM;0.006026
9M;15Y;25bp;0.006264
9M;15Y;50bp;0.006614
9M;15Y;75bp;0.007035
9M;15Y;100bp;0.007495
9M;15Y;150bp;0.008462
9M;15Y;200bp;0.009444
9M;15Y;250bp;0.010417
9M;15Y;300bp;0.011373
9M;15Y;350bp;0.012311
9M;20Y;-350bp;0.010989
9M;20Y;-300bp;0.010124
9M;20Y;-250bp;0.00925
9M;20Y;-200bp;0.008373
9M;20Y;-150bp;0.007513
9M;20Y;-100bp;0.006723
9M;20Y;-75bp;0.006394
9M;20Y;-50bp;0.00615
9M;20Y;-25bp;0.006034
9M;20Y;ATM;0.006078
9M;20Y;25bp;0.00628
9M;20Y;50bp;0.006604
9M;20Y;75bp;0.007005
9M;20Y;100bp;0.007451
9M;20Y;150bp;0.008401
9M;20Y;200bp;0.009372
9M;20Y;250bp;0.010337
9M;20Y;300bp;0.011288
9M;20Y;350bp;0.012221
9M;25Y;-350bp;0.011401
9M;25Y;-300bp;0.010499
9M;25Y;-250bp;0.009586
9M;25Y;-200bp;0.008667
9M;25Y;-150bp;0.007761
9M;25Y;-100bp;0.006919
9M;25Y;-75bp;0.006561
9M;25Y;-50bp;0.006285
9M;25Y;-25bp;0.006139
9M;25Y;ATM;0.006161
9M;25Y;25bp;0.006352
9M;25Y;50bp;0.006675
9M;25Y;75bp;0.007083
9M;25Y;100bp;0.007539
9M;25Y;150bp;0.008515
9M;25Y;200bp;0.009514
9M;25Y;250bp;0.010508
9M;25Y;300bp;0.011486
9M;25Y;350bp;0.012447
9M;30Y;-350bp;0.011825
9M;30Y;-300bp;0.010883
9M;30Y;-250bp;0.009928
9M;30Y;-200bp;0.008965
9M;30Y;-150bp;0.00801
9M;30Y;-100bp;0.007113
9M;30Y;-75bp;0.006723
9M;30Y;-50bp;0.006415
9M;30Y;-25bp;0.006238
9M;30Y;ATM;0.006235
9M;30Y;25bp;0.006415
9M;30Y;50bp;0.006739
9M;30Y;75bp;0.007155
9M;30Y;100bp;0.007624
9M;30Y;150bp;0.00863
9M;30Y;200bp;0.009661
9M;30Y;250bp;0.010685
9M;30Y;300bp;0.011694
9M;30Y;350bp;0.012684
1Y;1Y;-350bp;0.012021
1Y;1Y;-300bp;0.010931
1Y;1Y;-250bp;0.009812
1Y;1Y;-200bp;0.008661
1Y;1Y;-150bp;0.007477
1Y;1Y;-100bp;0.00627
1Y;1Y;-75bp;0.005675
1Y;1Y;-50bp;0.005119
1Y;1Y;-25bp;0.004675
1Y;1Y;ATM;0.004488
1Y;1Y;25bp;0.004661
1Y;1Y;50bp;0.005095
1Y;1Y;75bp;0.005646
1Y;1Y;100bp;0.006237
1Y;1Y;150bp;0.007439
1Y;1Y;200bp;0.008619
1Y;1Y;250bp;0.009766
1Y;1Y;300bp;0.010881
1Y;1Y;350bp;0.011968
1Y;2Y;-350bp;0.010536
1Y;2Y;-300bp;0.009663
1Y;2Y;-250bp;0.008774
1Y;2Y;-200bp;0.007872
1Y;2Y;-150bp;0.006965
1Y;2Y;-100bp;0.006089
1Y;2Y;-75bp;0.005692
1Y;2Y;-50bp;0.00536
1Y;2Y;-25bp;0.005145
1Y;2Y;ATM;0.005105
1Y;2Y;25bp;0.005259
1Y;2Y;50bp;0.005564
1Y;2Y;75bp;0.00596
1Y;2Y;100bp;0.006403
1Y;2Y;150bp;0.007341
1Y;2Y;200bp;0.008292
1Y;2Y;250bp;0.009231
1Y;2Y;300bp;0.010151
1Y;2Y;350bp;0.011053
1Y;3Y;-350bp;0.01035
1Y;3Y;-300bp;0.009507
1Y;3Y;-250bp;0.008651
1Y;3Y;-200bp;0.007786
1Y;3Y;-150bp;0.006923
1Y;3Y;-100bp;0.006103
1Y;3Y;-75bp;0.005742
1Y;3Y;-50bp;0.005452
1Y;3Y;-25bp;0.005282
1Y;3Y;ATM;0.005277
1Y;3Y;25bp;0.005447
1Y;3Y;50bp;0.005751
1Y;3Y;75bp;0.006137
1Y;3Y;100bp;0.006568
1Y;3Y;150bp;0.007483
1Y;3Y;200bp;0.008413
1Y;3Y;250bp;0.009333
1Y;3Y;300bp;0.010237
1Y;3Y;350bp;0.011123
1Y;4Y;-350bp;0.010219
1Y;4Y;-300bp;0.009406
1Y;4Y;-250bp;0.008583
1Y;4Y;-200bp;0.007754
1Y;4Y;-150bp;0.006936
1Y;4Y;-100bp;0.006173
1Y;4Y;-75bp;0.005847
1Y;4Y;-50bp;0.005596
1Y;4Y;-25bp;0.005463
1Y;4Y;ATM;0.005482
1Y;4Y;25bp;0.005656
1Y;4Y;50bp;0.005951
1Y;4Y;75bp;0.006321
1Y;4Y;100bp;0.006735
1Y;4Y;150bp;0.007618
1Y;4Y;200bp;0.008521
1Y;4Y;250bp;0.009417
1Y;4Y;300bp;0.010299
1Y;4Y;350bp;0.011165
1Y;5Y;-350bp;0.01002
1Y;5Y;-300bp;0.009239
1Y;5Y;-250bp;0.00845
1Y;5Y;-200bp;0.00766
1Y;5Y;-150bp;0.006886
1Y;5Y;-100bp;0.006178
1Y;5Y;-75bp;0.005884
1Y;5Y;-50bp;0.005666
1Y;5Y;-25bp;0.005561
1Y;5Y;ATM;0.005598
1Y;5Y;25bp;0.005774
1Y;5Y;50bp;0.006058
1Y;5Y;75bp;0.006413
1Y;5Y;100bp;0.00681
1Y;5Y;150bp;0.007659
1Y;5Y;200bp;0.008531
1Y;5Y;250bp;0.009399
1Y;5Y;300bp;0.010254
1Y;5Y;350bp;0.011095
1Y;6Y;-350bp;0.009953
1Y;6Y;-300bp;0.009181
1Y;6Y;-250bp;0.008403
1Y;6Y;-200bp;0.007626
1Y;6Y;-150bp;0.006869
1Y;6Y;-100bp;0.006185
1Y;6Y;-75bp;0.005908
1Y;6Y;-50bp;0.00571
1Y;6Y;-25bp;0.005628
1Y;6Y;ATM;0.005685
1Y;6Y;25bp;0.005877
1Y;6Y;50bp;0.006171
1Y;6Y;75bp;0.006531
1Y;6Y;100bp;0.006931
1Y;6Y;150bp;0.007784
1Y;6Y;200bp;0.008658
1Y;6Y;250bp;0.009527
1Y;6Y;300bp;0.010384
1Y;6Y;350bp;0.011227
1Y;7Y;-350bp;0.009867
1Y;7Y;-300bp;0.009106
1Y;7Y;-250bp;0.008339
1Y;7Y;-200bp;0.007576
1Y;7Y;-150bp;0.006837
1Y;7Y;-100bp;0.006178
1Y;7Y;-75bp;0.005917
1Y;7Y;-50bp;0.005739
1Y;7Y;-25bp;0.005678
1Y;7Y;ATM;0.005755
1Y;7Y;25bp;0.00596
1Y;7Y;50bp;0.006262
1Y;7Y;75bp;0.006627
1Y;7Y;100bp;0.00703
1Y;7Y;150bp;0.007884
1Y;7Y;200bp;0.008758
1Y;7Y;250bp;0.009628
1Y;7Y;300bp;0.010485
1Y;7Y;350bp;0.011327
1Y;8Y;-350bp;0.009785
1Y;8Y;-300bp;0.009035
1Y;8Y;-250bp;0.00828
1Y;8Y;-200bp;0.007531
1Y;8Y;-150bp;0.00681
1Y;8Y;-100bp;0.006177
1Y;8Y;-75bp;0.005934
1Y;8Y;-50bp;0.005777
1Y;8Y;-25bp;0.005737
1Y;8Y;ATM;0.005832
1Y;8Y;25bp;0.006051
1Y;8Y;50bp;0.006362
1Y;8Y;75bp;0.006732
1Y;8Y;100bp;0.007136
1Y;8Y;150bp;0.007993
1Y;8Y;200bp;0.008867
1Y;8Y;250bp;0.009736
1Y;8Y;300bp;0.010594
1Y;8Y;350bp;0.011436
1Y;9Y;-350bp;0.00971
1Y;9Y;-300bp;0.008969
1Y;9Y;-250bp;0.008224
1Y;9Y;-200bp;0.007487
1Y;9Y;-150bp;0.006782
1Y;9Y;-100bp;0.006172
1Y;9Y;-75bp;0.005945
1Y;9Y;-50bp;0.005807
1Y;9Y;-25bp;0.005787
1Y;9Y;ATM;0.005901
1Y;9Y;25bp;0.006133
1Y;9Y;50bp;0.006453
1Y;9Y;75bp;0.006828
1Y;9Y;100bp;0.007237
1Y;9Y;150bp;0.008098
1Y;9Y;200bp;0.008975
1Y;9Y;250bp;0.009846
1Y;9Y;300bp;0.010705
1Y;9Y;350bp;0.011549
1Y;10Y;-350bp;0.00959
1Y;10Y;-300bp;0.008863
1Y;10Y;-250bp;0.008133
1Y;10Y;-200bp;0.007414
1Y;10Y;-150bp;0.006731
1Y;10Y;-100bp;0.006151
1Y;10Y;-75bp;0.005943
1Y;10Y;-50bp;0.005827
1Y;10Y;-25bp;0.005829
1Y;10Y;ATM;0.005961
1Y;10Y;25bp;0.006205
1Y;10Y;50bp;0.006532
1Y;10Y;75bp;0.006911
1Y;10Y;100bp;0.00732
1Y;10Y;150bp;0.00818
1Y;10Y;200bp;0.009054
1Y;10Y;250bp;0.009922
1Y;10Y;300bp;0.010778
1Y;10Y;350bp;0.011618
1Y;15Y;-350bp;0.009915
1Y;15Y;-300bp;0.009171
1Y;15Y;-250bp;0.008424
1Y;15Y;-200bp;0.007686
1Y;15Y;-150bp;0.006981
1Y;15Y;-100bp;0.006369
1Y;15Y;-75bp;0.006139
1Y;15Y;-50bp;0.005993
1Y;15Y;-25bp;0.00596
1Y;15Y;ATM;0.006054
1Y;15Y;25bp;0.006264
1Y;15Y;50bp;0.006563
1Y;15Y;75bp;0.006921
1Y;15Y;100bp;0.007315
1Y;15Y;150bp;0.008154
1Y;15Y;200bp;0.009016
1Y;15Y;250bp;0.009876
1Y;15Y;300bp;0.010726
1Y;15Y;350bp;0.011562
1Y;20Y;-350bp;0.010147
1Y;20Y;-300bp;0.00939
1Y;20Y;-250bp;0.00863
1Y;20Y;-200bp;0.007876
1Y;20Y;-150bp;0.007151
1Y;20Y;-100bp;0.006512
1Y;20Y;-75bp;0.006261
1Y;20Y;-50bp;0.006089
1Y;20Y;-25bp;0.006023
1Y;20Y;ATM;0.006083
1Y;20Y;25bp;0.006262
1Y;20Y;50bp;0.006535
1Y;20Y;75bp;0.006873
1Y;20Y;100bp;0.007252
1Y;20Y;150bp;0.008071
1Y;20Y;200bp;0.008918
1Y;20Y;250bp;0.009768
1Y;20Y;300bp;0.010609
1Y;20Y;350bp;0.011437
1Y;25Y;-350bp;0.010336
1Y;25Y;-300bp;0.00957
1Y;25Y;-250bp;0.0088
1Y;25Y;-200bp;0.008037
1Y;25Y;-150bp;0.007301
1Y;25Y;-100bp;0.006649
1Y;25Y;-75bp;0.00639
1Y;25Y;-50bp;0.006207
1Y;25Y;-25bp;0.00613
1Y;25Y;ATM;0.006175
1Y;25Y;25bp;0.006341
1Y;25Y;50bp;0.006603
1Y;25Y;75bp;0.006934
1Y;25Y;100bp;0.007307
1Y;25Y;150bp;0.008119
1Y;25Y;200bp;0.008964
1Y;25Y;250bp;0.009813
1Y;25Y;300bp;0.010655
1Y;25Y;350bp;0.011485
1Y;30Y;-350bp;0.010539
1Y;30Y;-300bp;0.009759
1Y;30Y;-250bp;0.008973
1Y;30Y;-200bp;0.008193
1Y;30Y;-150bp;0.00744
1Y;30Y;-100bp;0.006766
1Y;30Y;-75bp;0.006494
1Y;30Y;-50bp;0.006297
1Y;30Y;-25bp;0.006205
1Y;30Y;ATM;0.006236
1Y;30Y;25bp;0.00639
1Y;30Y;50bp;0.006645
1Y;30Y;75bp;0.006972
1Y;30Y;100bp;0.007343
1Y;30Y;150bp;0.008157
1Y;30Y;200bp;0.009007
1Y;30Y;250bp;0.009862
1Y;30Y;300bp;0.01071
1Y;30Y;350bp;0.011547
18M;1Y;-350bp;0.01104
18M;1Y;-300bp;0.01011
18M;1Y;-250bp;0.009162
18M;1Y;-200bp;0.008198
18M;1Y;-150bp;0.007226
18M;1Y;-100bp;0.006282
18M;1Y;-75bp;0.005852
18M;1Y;-50bp;0.005492
18M;1Y;-25bp;0.005262
18M;1Y;ATM;0.00523
18M;1Y;25bp;0.005416
18M;1Y;50bp;0.005766
18M;1Y;75bp;0.006209
18M;1Y;100bp;0.006697
18M;1Y;150bp;0.00772
18M;1Y;200bp;0.008749
18M;1Y;250bp;0.009761
18M;1Y;300bp;0.010752
18M;1Y;350bp;0.011721
18M;2Y;-350bp;0.010033
18M;2Y;-300bp;0.009255
18M;2Y;-250bp;0.00847
18M;2Y;-200bp;0.007683
18M;2Y;-150bp;0.006915
18M;2Y;-100bp;0.006213
18M;2Y;-75bp;0.005923
18M;2Y;-50bp;0.005708
18M;2Y;-25bp;0.005605
18M;2Y;ATM;0.005641
18M;2Y;25bp;0.005813
18M;2Y;50bp;0.006093
18M;2Y;75bp;0.006444
18M;2Y;100bp;0.006836
18M;2Y;150bp;0.007678
18M;2Y;200bp;0.008544
18M;2Y;250bp;0.009407
18M;2Y;300bp;0.010258
18M;2Y;350bp;0.011095
18M;3Y;-350bp;0.009767
18M;3Y;-300bp;0.009025
18M;3Y;-250bp;0.008279
18M;3Y;-200bp;0.007536
18M;3Y;-150bp;0.006817
18M;3Y;-100bp;0.006175
18M;3Y;-75bp;0.005919
18M;3Y;-50bp;0.00574
18M;3Y;-25bp;0.005668
18M;3Y;ATM;0.005723
18M;3Y;25bp;0.0059
18M;3Y;50bp;0.006173
18M;3Y;75bp;0.006511
18M;3Y;100bp;0.006887
18M;3Y;150bp;0.007695
18M;3Y;200bp;0.008528
18M;3Y;250bp;0.009361
18M;3Y;300bp;0.010184
18M;3Y;350bp;0.010994
18M;4Y;-350bp;0.009615
18M;4Y;-300bp;0.008901
18M;4Y;-250bp;0.008185
18M;4Y;-200bp;0.007476
18M;4Y;-150bp;0.006797
18M;4Y;-100bp;0.006203
18M;4Y;-75bp;0.005974
18M;4Y;-50bp;0.005821
18M;4Y;-25bp;0.00577
18M;4Y;ATM;0.005837
18M;4Y;25bp;0.006014
18M;4Y;50bp;0.006279
18M;4Y;75bp;0.006603
18M;4Y;100bp;0.006965
18M;4Y;150bp;0.007744
18M;4Y;200bp;0.00855
18M;4Y;250bp;0.009358
18M;4Y;300bp;0.010158
18M;4Y;350bp;0.010946
18M;5Y;-350bp;0.009445
18M;5Y;-300bp;0.008757
