Expiry;UnderlyingTenor;Strike;Volatility
1M;15Y;-250bp;0.013661
1M;15Y;-200bp;0.011944
1M;15Y;-150bp;0.010169
1M;15Y;-100bp;0.008343
1M;15Y;-75bp;0.007431
1M;15Y;-50bp;0.006568
1M;15Y;-25bp;0.005892
1M;15Y;ATM;0.005721
1M;15Y;25bp;0.006226
1M;15Y;50bp;0.007092
1M;15Y;75bp;0.008063
1M;15Y;100bp;0.009052
1M;15Y;150bp;0.010994
1M;15Y;200bp;0.012864
1M;15Y;250bp;0.014666
1M;15Y;300bp;0.01641
1M;15Y;350bp;0.018105
1M;20Y;-350bp;0.01778
1M;20Y;-300bp;0.016081
1M;20Y;-250bp;0.014335
1M;20Y;-200bp;0.012534
1M;20Y;-150bp;0.010668
1M;20Y;-100bp;0.00874
1M;20Y;-75bp;0.007767
1M;20Y;-50bp;0.006832
1M;20Y;-25bp;0.006057
1M;20Y;ATM;0.005766
1M;20Y;25bp;0.006201
1M;20Y;50bp;0.007055
1M;20Y;75bp;0.008035
1M;20Y;100bp;0.00904
1M;20Y;150bp;0.011017
1M;20Y;200bp;0.012923
1M;20Y;250bp;0.014761
1M;20Y;300bp;0.016541
1M;20Y;350bp;0.018271
1M;25Y;-350bp;0.018388
1M;25Y;-300bp;0.016633
1M;25Y;-250bp;0.014828
1M;25Y;-200bp;0.012965
1M;25Y;-150bp;0.011035
1M;25Y;-100bp;0.009036
1M;25Y;-75bp;0.008025
1M;25Y;-50bp;0.007047
1M;25Y;-25bp;0.006221
1M;25Y;ATM;0.005874
1M;25Y;25bp;0.006282
1M;25Y;50bp;0.007141
1M;25Y;75bp;0.008139
1M;25Y;100bp;0.009163
1M;25Y;150bp;0.011182
1M;25Y;200bp;0.01313
1M;25Y;250bp;0.015008
1M;25Y;300bp;0.016827
1M;25Y;350bp;0.018595
1M;30Y;-350bp;0.019206
1M;30Y;-300bp;0.017366
1M;30Y;-250bp;0.015475
1M;30Y;-200bp;0.013521
1M;30Y;-150bp;0.011494
1M;30Y;-100bp;0.009389
1M;30Y;-75bp;0.008318
1M;30Y;-50bp;0.007272
1M;30Y;-25bp;0.006365
1M;30Y;ATM;0.005939
1M;30Y;25bp;0.006328
1M;30Y;50bp;0.007214
1M;30Y;75bp;0.008249
1M;30Y;100bp;0.009311
1M;30Y;150bp;0.011404
1M;30Y;200bp;0.013421
1M;30Y;250bp;0.015365
1M;30Y;300bp;0.017248
1M;30Y;350bp;0.019079
2M;1Y;-350bp;0.015263
2M;1Y;-300bp;0.013654
2M;1Y;-250bp;0.011995
2M;1Y;-200bp;0.010276
2M;1Y;-150bp;0.008477
2M;1Y;-100bp;0.006565
2M;1Y;-75bp;0.00555
2M;1Y;-50bp;0.00448
2M;1Y;-25bp;0.003352
2M;1Y;ATM;0.002388
2M;1Y;25bp;0.002812
2M;1Y;50bp;0.003772
2M;1Y;75bp;0.004725
2M;1Y;100bp;0.00564
2M;1Y;150bp;0.007377
2M;1Y;200bp;0.00902
2M;1Y;250bp;0.010596
2M;1Y;300bp;0.01212
2M;1Y;350bp;0.013602
2M;2Y;-350bp;0.016156
2M;2Y;-300bp;0.014524
2M;2Y;-250bp;0.012843
2M;2Y;-200bp;0.011101
2M;2Y;-150bp;0.009281
2M;2Y;-100bp;0.007357
2M;2Y;-75bp;0.006346
2M;2Y;-50bp;0.005304
2M;2Y;-25bp;0.004271
2M;2Y;ATM;0.003549
2M;2Y;25bp;0.003867
2M;2Y;50bp;0.004742
2M;2Y;75bp;0.00569
2M;2Y;100bp;0.006626
2M;2Y;150bp;0.008425
2M;2Y;200bp;0.010136
2M;2Y;250bp;0.011779
2M;2Y;300bp;0.013367
2M;2Y;350bp;0.01491
2M;3Y;-350bp;0.015878
2M;3Y;-300bp;0.014313
2M;3Y;-250bp;0.012701
2M;3Y;-200bp;0.011032
2M;3Y;-150bp;0.009294
2M;3Y;-100bp;0.007468
2M;3Y;-75bp;0.006521
2M;3Y;-50bp;0.005564
2M;3Y;-25bp;0.004667
2M;3Y;ATM;0.004135
2M;3Y;25bp;0.004445
2M;3Y;50bp;0.005242
2M;3Y;75bp;0.006141
2M;3Y;100bp;0.007045
2M;3Y;150bp;0.008801
2M;3Y;200bp;0.01048
2M;3Y;250bp;0.012094
2M;3Y;300bp;0.013655
2M;3Y;350bp;0.015172
2M;4Y;-350bp;0.015553
2M;4Y;-300bp;0.014052
2M;4Y;-250bp;0.012509
2M;4Y;-200bp;0.010914
2M;4Y;-150bp;0.009257
2M;4Y;-100bp;0.007532
2M;4Y;-75bp;0.006651
2M;4Y;-50bp;0.005783
2M;4Y;-25bp;0.005017
2M;4Y;ATM;0.004641
2M;4Y;25bp;0.004959
2M;4Y;50bp;0.005695
2M;4Y;75bp;0.006546
2M;4Y;100bp;0.007415
2M;4Y;150bp;0.009121
2M;4Y;200bp;0.010762
2M;4Y;250bp;0.012342
2M;4Y;300bp;0.013872
2M;4Y;350bp;0.01536
2M;5Y;-350bp;0.015574
2M;5Y;-300bp;0.014093
2M;5Y;-250bp;0.01257
2M;5Y;-200bp;0.010999
2M;5Y;-150bp;0.009372
2M;5Y;-100bp;0.007692
2M;5Y;-75bp;0.006845
2M;5Y;-50bp;0.00603
2M;5Y;-25bp;0.005352
2M;5Y;ATM;0.005083
2M;5Y;25bp;0.005435
2M;5Y;50bp;0.006159
2M;5Y;75bp;0.007
2M;5Y;100bp;0.007866
2M;5Y;150bp;0.009575
2M;5Y;200bp;0.011225
2M;5Y;250bp;0.012817
2M;5Y;300bp;0.014359
2M;5Y;350bp;0.015859
2M;6Y;-350bp;0.015528
2M;6Y;-300bp;0.014056
2M;6Y;-250bp;0.012543
2M;6Y;-200bp;0.010984
2M;6Y;-150bp;0.009371
2M;6Y;-100bp;0.007712
2M;6Y;-75bp;0.006881
2M;6Y;-50bp;0.006091
2M;6Y;-25bp;0.005455
2M;6Y;ATM;0.005241
2M;6Y;25bp;0.005625
2M;6Y;50bp;0.006358
2M;6Y;75bp;0.007205
2M;6Y;100bp;0.008075
2M;6Y;150bp;0.009794
2M;6Y;200bp;0.011455
2M;6Y;250bp;0.013058
2M;6Y;300bp;0.014611
2M;6Y;350bp;0.016121
2M;7Y;-350bp;0.01542
2M;7Y;-300bp;0.013961
2M;7Y;-250bp;0.012462
2M;7Y;-200bp;0.010919
2M;7Y;-150bp;0.009326
2M;7Y;-100bp;0.007691
2M;7Y;-75bp;0.006878
2M;7Y;-50bp;0.006114
2M;7Y;-25bp;0.005519
2M;7Y;ATM;0.005357
2M;7Y;25bp;0.005771
2M;7Y;50bp;0.006513
2M;7Y;75bp;0.007363
2M;7Y;100bp;0.008235
2M;7Y;150bp;0.009959
2M;7Y;200bp;0.011625
2M;7Y;250bp;0.013233
2M;7Y;300bp;0.014791
2M;7Y;350bp;0.016305
2M;8Y;-350bp;0.015381
2M;8Y;-300bp;0.01393
2M;8Y;-250bp;0.012441
2M;8Y;-200bp;0.010909
2M;8Y;-150bp;0.009329
2M;8Y;-100bp;0.007715
2M;8Y;-75bp;0.006918
2M;8Y;-50bp;0.00618
2M;8Y;-25bp;0.005626
2M;8Y;ATM;0.005513
2M;8Y;25bp;0.005954
2M;8Y;50bp;0.006706
2M;8Y;75bp;0.00756
2M;8Y;100bp;0.008436
2M;8Y;150bp;0.010169
2M;8Y;200bp;0.011845
2M;8Y;250bp;0.013462
2M;8Y;300bp;0.015029
2M;8Y;350bp;0.016553
2M;9Y;-350bp;0.015286
2M;9Y;-300bp;0.013846
2M;9Y;-250bp;0.012369
2M;9Y;-200bp;0.01085
2M;9Y;-150bp;0.009286
2M;9Y;-100bp;0.007693
2M;9Y;-75bp;0.006913
2M;9Y;-50bp;0.006198
2M;9Y;-25bp;0.005682
2M;9Y;ATM;0.005616
2M;9Y;25bp;0.006086
2M;9Y;50bp;0.006849
2M;9Y;75bp;0.007709
2M;9Y;100bp;0.008589
2M;9Y;150bp;0.01033
2M;9Y;200bp;0.012013
2M;9Y;250bp;0.013637
2M;9Y;300bp;0.015211
2M;9Y;350bp;0.016741
2M;10Y;-350bp;0.015214
2M;10Y;-300bp;0.013782
2M;10Y;-250bp;0.012315
2M;10Y;-200bp;0.010806
2M;10Y;-150bp;0.009256
2M;10Y;-100bp;0.007682
2M;10Y;-75bp;0.006917
2M;10Y;-50bp;0.006225
2M;10Y;-25bp;0.005746
2M;10Y;ATM;0.005726
2M;10Y;25bp;0.006225
2M;10Y;50bp;0.007
2M;10Y;75bp;0.007866
2M;10Y;100bp;0.008753
2M;10Y;150bp;0.010504
2M;10Y;200bp;0.012196
2M;10Y;250bp;0.013829
2M;10Y;300bp;0.015412
2M;10Y;350bp;0.016951
2M;15Y;-350bp;0.015663
2M;15Y;-300bp;0.014198
2M;15Y;-250bp;0.012694
2M;15Y;-200bp;0.011148
2M;15Y;-150bp;0.009557
2M;15Y;-100bp;0.007939
2M;15Y;-75bp;0.007148
2M;15Y;-50bp;0.006423
2M;15Y;-25bp;0.005898
2M;15Y;ATM;0.005815
2M;15Y;25bp;0.006264
2M;15Y;50bp;0.007017
2M;15Y;75bp;0.007875
2M;15Y;100bp;0.008759
2M;15Y;150bp;0.010513
2M;15Y;200bp;0.012213
2M;15Y;250bp;0.013855
2M;15Y;300bp;0.015446
2M;15Y;350bp;0.016994
2M;20Y;-350bp;0.01639
2M;20Y;-300bp;0.014861
2M;20Y;-250bp;0.013291
2M;20Y;-200bp;0.011676
2M;20Y;-150bp;0.010011
2M;20Y;-100bp;0.008311
2M;20Y;-75bp;0.007471
2M;20Y;-50bp;0.006689
2M;20Y;-25bp;0.006089
2M;20Y;ATM;0.005919
2M;20Y;25bp;0.006314
2M;20Y;50bp;0.007052
2M;20Y;75bp;0.007914
2M;20Y;100bp;0.00881
2M;20Y;150bp;0.010593
2M;20Y;200bp;0.012324
2M;20Y;250bp;0.013998
2M;20Y;300bp;0.015622
2M;20Y;350bp;0.017201
2M;25Y;-350bp;0.016977
2M;25Y;-300bp;0.015397
2M;25Y;-250bp;0.013774
2M;25Y;-200bp;0.012102
2M;25Y;-150bp;0.010379
2M;25Y;-100bp;0.008614
2M;25Y;-75bp;0.007739
2M;25Y;-50bp;0.006918
2M;25Y;-25bp;0.00627
2M;25Y;ATM;0.006049
2M;25Y;25bp;0.006413
2M;25Y;50bp;0.007148
2M;25Y;75bp;0.008021
2M;25Y;100bp;0.008931
2M;25Y;150bp;0.010748
2M;25Y;200bp;0.012514
2M;25Y;250bp;0.014222
2M;25Y;300bp;0.01588
2M;25Y;350bp;0.017492
2M;30Y;-350bp;0.017732
2M;30Y;-300bp;0.016077
2M;30Y;-250bp;0.014377
2M;30Y;-200bp;0.012625
2M;30Y;-150bp;0.010816
2M;30Y;-100bp;0.008956
2M;30Y;-75bp;0.008027
2M;30Y;-50bp;0.007144
2M;30Y;-25bp;0.006424
2M;30Y;ATM;0.006133
2M;30Y;25bp;0.00647
2M;30Y;50bp;0.007218
2M;30Y;75bp;0.008116
2M;30Y;100bp;0.009056
2M;30Y;150bp;0.010933
2M;30Y;200bp;0.012756
2M;30Y;250bp;0.01452
2M;30Y;300bp;0.01623
2M;30Y;350bp;0.017895
3M;1Y;-350bp;0.015757
3M;1Y;-300bp;0.014105
3M;1Y;-250bp;0.012404
3M;1Y;-200bp;0.010639
3M;1Y;-150bp;0.008792
3M;1Y;-100bp;0.006831
3M;1Y;-75bp;0.005789
3M;1Y;-50bp;0.004694
3M;1Y;-25bp;0.003545
