Method,H,Expiry,Alpha,Rho,Nu,RMSE_bps,RMSE_global_bps
AMMO_ODE,0.25,7.0,0.0064903730154313895,-0.1966581653100142,0.47766299304623816,5.209158888112339,6.989603494831161
AMMO_ODE,0.25,8.0,0.006503910203915104,-0.1956851261188187,0.47766299304623816,5.374699482302348,6.989603494831161
AMMO_ODE,0.25,9.0,0.006499206555860393,-0.1942821721991486,0.47766299304623816,5.5800783925166435,6.989603494831161
AMMO_ODE,0.25,10.0,0.006436308164629698,-0.18937974718127676,0.47766299304623816,5.538443334821448,6.989603494831161
AMMO_ODE,0.25,12.0,0.006358998083333248,-0.1856213116793785,0.47766299304623816,5.794843672669721,6.989603494831161
AMMO_ODE,0.25,15.0,0.006183437842875278,-0.1751120240062739,0.47766299304623816,5.716358946666353,6.989603494831161
AMMO_ODE,0.25,20.0,0.005899129167630991,-0.16171557229269037,0.47766299304623816,5.808787079474644,6.989603494831161
AMMO_ODE,0.25,25.0,0.005654975759035273,-0.16144971576241363,0.47766299304623816,5.617319306554419,6.989603494831161
AMMO_ODE,0.25,30.0,0.00551807232482077,-0.16014608635899064,0.47766299304623816,5.517376686939928,6.989603494831161
AMMO_ODE,0.3,1.0,0.004396382629219767,0.0076860933428841965,0.45098836857670865,19.52146104663942,7.947463711997219
AMMO_ODE,0.3,1.5,0.005096015480263474,-0.08517257298312647,0.45098836857670865,14.033612990647999,7.947463711997219
AMMO_ODE,0.3,2.0,0.0054707211706058875,-0.17051422253020046,0.45098836857670865,8.209548211460236,7.947463711997219
AMMO_ODE,0.3,3.0,0.005981388212305955,-0.1923643292964612,0.45098836857670865,2.996947120421119,7.947463711997219
AMMO_ODE,0.3,4.0,0.006260157558904625,-0.2050054593536498,0.45098836857670865,0.1840009896795599,7.947463711997219
AMMO_ODE,0.3,5.0,0.00642881742914847,-0.21644290806896405,0.45098836857670865,2.767289740712597,7.947463711997219
AMMO_ODE,0.3,6.0,0.006477765705741236,-0.2185732233832402,0.45098836857670865,3.95441989712589,7.947463711997219
AMMO_ODE,0.3,7.0,0.006494916599217195,-0.21433766839517343,0.45098836857670865,5.127361183488977,7.947463711997219
AMMO_ODE,0.3,8.0,0.006503095194213899,-0.2127553829820761,0.45098836857670865,5.4229729342602235,7.947463711997219
AMMO_ODE,0.3,9.0,0.006492999944417385,-0.21084045713198377,0.45098836857670865,5.738371199343568,7.947463711997219
AMMO_ODE,0.3,10.0,0.006424564486200314,-0.20502563718509503,0.45098836857670865,5.794527991353484,7.947463711997219
AMMO_ODE,0.3,12.0,0.006336787224414994,-0.2003865734353989,0.45098836857670865,6.209075627536893,7.947463711997219
AMMO_ODE,0.3,15.0,0.0061461366212232854,-0.18813933178743134,0.45098836857670865,6.318612417800198,7.947463711997219
AMMO_ODE,0.3,20.0,0.005839575235789459,-0.17296096347139947,0.45098836857670865,6.6417546400864875,7.947463711997219
AMMO_ODE,0.3,25.0,0.005576758935035193,-0.17195022431877907,0.45098836857670865,6.6190383391447805,7.947463711997219
AMMO_ODE,0.3,30.0,0.0054220171768513915,-0.16997056241412428,0.45098836857670865,6.652187138813217,7.947463711997219
AMMO_ODE,0.35,1.0,0.004413692079608246,0.007210678320458253,0.4183760236251259,22.195172828041745,8.887787705897649
AMMO_ODE,0.35,1.5,0.0051168064038559615,-0.0847817838029822,0.4183760236251259,16.104214060061178,8.887787705897649
AMMO_ODE,0.35,2.0,0.005492746559913189,-0.17603966556218753,0.4183760236251259,9.923539908042427,8.887787705897649
AMMO_ODE,0.35,3.0,0.006004474681273037,-0.20395148252583847,0.4183760236251259,4.193132225736706,8.887787705897649
AMMO_ODE,0.35,4.0,0.006282144952971012,-0.2200884681443197,0.4183760236251259,0.6765278194243125,8.887787705897649
AMMO_ODE,0.35,5.0,0.006448654436779387,-0.23450331413798686,0.4183760236251259,2.1469658180351336,8.887787705897649
AMMO_ODE,0.35,6.0,0.006494155928787311,-0.23746406493606856,0.4183760236251259,3.525277201335261,8.887787705897649
AMMO_ODE,0.35,7.0,0.006507240513519844,-0.23365357820144717,0.4183760236251259,4.858074801913447,8.887787705897649
AMMO_ODE,0.35,8.0,0.006510885249167343,-0.23172957586154627,0.4183760236251259,5.286079272553006,8.887787705897649
AMMO_ODE,0.35,9.0,0.006496052512190628,-0.22955886346586754,0.4183760236251259,5.71549207689036,8.887787705897649
AMMO_ODE,0.35,10.0,0.006422458216886516,-0.22297981040098025,0.4183760236251259,5.87483581958319,8.887787705897649
AMMO_ODE,0.35,12.0,0.006324801030760949,-0.21787187620049794,0.4183760236251259,6.460121349201024,8.887787705897649
AMMO_ODE,0.35,15.0,0.006119093067313254,-0.20426881158332078,0.4183760236251259,6.780338513883793,8.887787705897649
AMMO_ODE,0.35,20.0,0.005789440566933577,-0.18801490773702373,0.4183760236251259,7.374968121163858,8.887787705897649
AMMO_ODE,0.35,25.0,0.00550682400094841,-0.1871126879078158,0.4183760236251259,7.5615469055585125,8.887787705897649
AMMO_ODE,0.35,30.0,0.005332989127631249,-0.18527331988929444,0.4183760236251259,7.769286250748542,8.887787705897649
AMMO_ODE,0.4,1.0,0.004428835925363767,0.006649953381017869,0.3827023227427589,24.766718864815513,9.796544395264439
AMMO_ODE,0.4,1.5,0.0051360719136148755,-0.08295232681011752,0.3827023227427589,18.157348710547605,9.796544395264439
AMMO_ODE,0.4,2.0,0.00551388872560971,-0.17872390162374188,0.3827023227427589,11.668911512331608,9.796544395264439
AMMO_ODE,0.4,3.0,0.006028316591418486,-0.2135467713157009,0.3827023227427589,5.4848328586243325,9.796544395264439
AMMO_ODE,0.4,4.0,0.0063065803032049525,-0.23407344575461525,0.3827023227427589,1.6678086718901743,9.796544395264439
AMMO_ODE,0.4,5.0,0.006472560953707641,-0.25231797622666896,0.3827023227427589,1.374185570494731,9.796544395264439
AMMO_ODE,0.4,6.0,0.006516079332972017,-0.25673846267170347,0.3827023227427589,2.9308151992048677,9.796544395264439
AMMO_ODE,0.4,7.0,0.006526446569566013,-0.25398966746124235,0.3827023227427589,4.415767982624116,9.796544395264439
AMMO_ODE,0.4,8.0,0.00652665419521422,-0.2520865225276851,0.3827023227427589,4.972556085227472,9.796544395264439
AMMO_ODE,0.4,9.0,0.0065080332334308474,-0.250012426332132,0.3827023227427589,5.514584866457476,9.796544395264439
AMMO_ODE,0.4,10.0,0.006429966717952995,-0.24291783159564834,0.3827023227427589,5.77763753529168,9.796544395264439
AMMO_ODE,0.4,12.0,0.006323633569232928,-0.23795586440488334,0.3827023227427589,6.537698299921355,9.796544395264439
AMMO_ODE,0.4,15.0,0.006103765594633492,-0.22369981063867167,0.3827023227427589,7.081061612072049,9.796544395264439
AMMO_ODE,0.4,20.0,0.005751515289922963,-0.2077229172318626,0.3827023227427589,7.975743764087804,9.796544395264439
AMMO_ODE,0.4,25.0,0.005449308525526773,-0.20856157205901443,0.3827023227427589,8.4038534587774,9.796544395264439
AMMO_ODE,0.4,30.0,0.005256579370489756,-0.20861692842579757,0.3827023227427589,8.822304927953484,9.796544395264439
AMMO_ODE,0.45,1.0,0.004441699892109495,0.0061038154065478755,0.34609074511439947,27.185975981213208,10.659971514106354
AMMO_ODE,0.45,1.5,0.005153369319482782,-0.08036415163903383,0.34609074511439947,20.140305719757983,10.659971514106354
AMMO_ODE,0.45,2.0,0.005533541704053894,-0.17919992198394105,0.34609074511439947,13.391675103576675,10.659971514106354
AMMO_ODE,0.45,3.0,0.006051855396870533,-0.22104012859944744,0.34609074511439947,6.821429660993507,10.659971514106354
AMMO_ODE,0.45,4.0,0.006332088882829451,-0.24647702801933846,0.34609074511439947,2.7445569886181884,10.659971514106354
AMMO_ODE,0.45,5.0,0.006498953517771787,-0.2691600907659193,0.34609074511439947,0.4887950967580622,10.659971514106354
AMMO_ODE,0.45,6.0,0.006541911922491685,-0.2755890687820958,0.34609074511439947,2.2051239752752876,10.659971514106354
AMMO_ODE,0.45,7.0,0.0065509758929356374,-0.2745175349271158,0.34609074511439947,3.828825037110749,10.659971514106354
AMMO_ODE,0.45,8.0,0.006548985449572045,-0.27303436658791397,0.34609074511439947,4.505590866413923,10.659971514106354
AMMO_ODE,0.45,9.0,0.006527712930214692,-0.27145548956081417,0.34609074511439947,5.153934811107503,10.659971514106354
AMMO_ODE,0.45,10.0,0.006446103518972199,-0.26416851789095563,0.34609074511439947,5.516584373088265,10.659971514106354
AMMO_ODE,0.45,12.0,0.006332815539141328,-0.26012234504332926,0.34609074511439947,6.446988992640347,10.659971514106354
AMMO_ODE,0.45,15.0,0.006100563412408913,-0.24626301195628592,0.34609074511439947,7.214950599678862,10.659971514106354
AMMO_ODE,0.45,20.0,0.005727884859013412,-0.2328089531608546,0.34609074511439947,8.423144302961607,10.659971514106354
AMMO_ODE,0.45,25.0,0.0054084405425864675,-0.2383108572482937,0.34609074511439947,9.11241897407755,10.659971514106354
AMMO_ODE,0.45,30.0,0.00519992600492373,-0.2439016756416362,0.34609074511439947,9.766627466767892,10.659971514106354
AMMO_ODE,0.5,1.0,0.0044522994948435835,0.005560241387522406,0.3102027822558493,29.405227933164365,11.464995023486017
AMMO_ODE,0.5,1.5,0.00516839527918176,-0.07762418626697161,0.3102027822558493,22.00136304727212,11.464995023486017
AMMO_ODE,0.5,2.0,0.0055512198394901974,-0.17835875644336402,0.3102027822558493,15.038236567766058,11.464995023486017
AMMO_ODE,0.5,3.0,0.006074143313833837,-0.22671125390986233,0.3102027822558493,8.148710642018239,11.464995023486017
AMMO_ODE,0.5,4.0,0.006357312698290272,-0.25714503680802137,0.3102027822558493,3.8543954159255964,11.464995023486017
AMMO_ODE,0.5,5.0,0.00652611654061003,-0.2845315396658435,0.3102027822558493,0.45950047169243285,11.464995023486017
AMMO_ODE,0.5,6.0,0.006569706213369767,-0.29332383952958524,0.3102027822558493,1.3945297772749674,11.464995023486017
AMMO_ODE,0.5,7.0,0.006578731468776096,-0.2943951952827483,0.3102027822558493,3.139813895533292,11.464995023486017
AMMO_ODE,0.5,8.0,0.006575737994151511,-0.29368293671171763,0.3102027822558493,3.924046109644686,11.464995023486017
AMMO_ODE,0.5,9.0,0.006552961975998091,-0.2929636410361733,0.3102027822558493,4.668760728198271,11.464995023486017
AMMO_ODE,0.5,10.0,0.00646883994969249,-0.2858198168716471,0.3102027822558493,5.123261932794039,11.464995023486017
AMMO_ODE,0.5,12.0,0.00635057611143713,-0.28348703149132753,0.3102027822558493,6.212670039143385,11.464995023486017
AMMO_ODE,0.5,15.0,0.006108400425581286,-0.27132315418738967,0.3102027822558493,7.196815043638339,11.464995023486017
AMMO_ODE,0.5,20.0,0.005719346347447593,-0.26358823283224314,0.3102027822558493,8.716410987813944,11.464995023486017
AMMO_ODE,0.5,25.0,0.005388356274661,-0.27837493329592944,0.3102027822558493,9.670510343091598,11.464995023486017
AMMO_ODE,0.5,30.0,0.005173209437389596,-0.2961299801552145,0.3102027822558493,10.566948043142268,11.464995023486017
PURE_MC,0.05,1.0,0.004384778276741503,0.011498047994733787,0.6008933766342947,5.522605152076576,2.830316473857475
PURE_MC,0.05,1.5,0.0047261307920600385,0.0962773851150953,0.6008933766342947,4.017864566066417,2.830316473857475
PURE_MC,0.05,2.0,0.004869136955756613,0.13793250541020508,0.6008933766342947,3.6595105482739543,2.830316473857475
PURE_MC,0.05,3.0,0.004963100726755496,0.2518802425678993,0.6008933766342947,0.5599919676890673,2.830316473857475
PURE_MC,0.05,4.0,0.005041407937064273,0.32115467482741833,0.6008933766342947,1.2958628544917086,2.830316473857475
PURE_MC,0.05,5.0,0.005040560954449603,0.3267253179733115,0.6008933766342947,2.662507154189276,2.830316473857475
PURE_MC,0.05,6.0,0.00501063374026797,0.32709367380098375,0.6008933766342947,2.9413990000531407,2.830316473857475
PURE_MC,0.05,7.0,0.004988187021830511,0.3225752801779085,0.6008933766342947,3.033932768305035,2.830316473857475
PURE_MC,0.05,8.0,0.004956690822417116,0.3412118009480889,0.6008933766342947,3.1002367255333705,2.830316473857475
PURE_MC,0.05,9.0,0.0049592886661100274,0.33206070254467784,0.6008933766342947,2.813578512541218,2.830316473857475
PURE_MC,0.05,10.0,0.004924556711166378,0.328925775273537,0.6008933766342947,2.508937117689753,2.830316473857475
PURE_MC,0.05,12.0,0.004843596009209988,0.3313473343715157,0.6008933766342947,2.5004445512542928,2.830316473857475
PURE_MC,0.05,15.0,0.004753551888465327,0.33325050962038927,0.6008933766342947,2.127518374577122,2.830316473857475
PURE_MC,0.05,20.0,0.004575743650124559,0.31449813340453653,0.6008933766342947,1.7205696969425335,2.830316473857475
PURE_MC,0.05,25.0,0.004384988078858315,0.31669060779084646,0.6008933766342947,1.4409537402864439,2.830316473857475
PURE_MC,0.05,30.0,0.004254916854737731,0.3125430133592397,0.6008933766342947,1.249218261358573,2.830316473857475
PURE_MC,0.1,1.0,0.004769954006373277,0.006045469190424356,0.5871123364737942,7.089412670018687,3.3763113895655534
PURE_MC,0.1,1.5,0.00502885467031978,0.09067762607533802,0.5871123364737942,4.707223093767263,3.3763113895655534
PURE_MC,0.1,2.0,0.005138000120113848,0.12679960423390724,0.5871123364737942,4.0656933514197755,3.3763113895655534
PURE_MC,0.1,3.0,0.0052303619358331725,0.23885062976320867,0.5871123364737942,0.7481814867848476,3.3763113895655534
PURE_MC,0.1,4.0,0.005295687949802223,0.30307154203114717,0.5871123364737942,1.3060903295692456,3.3763113895655534
PURE_MC,0.1,5.0,0.00527102495052703,0.3059584094156454,0.5871123364737942,2.8434130286723502,3.3763113895655534
PURE_MC,0.1,6.0,0.00523487794290347,0.31149704737277994,0.5871123364737942,3.224848094970109,3.3763113895655534
PURE_MC,0.1,7.0,0.005206946340544864,0.30526783006679425,0.5871123364737942,3.3811152846595447,3.3763113895655534
PURE_MC,0.1,8.0,0.005173803446788122,0.32640624265290064,0.5871123364737942,3.504932379163048,3.3763113895655534
PURE_MC,0.1,9.0,0.005170279280157513,0.31504640889400715,0.5871123364737942,3.290371729177044,3.3763113895655534
PURE_MC,0.1,10.0,0.0051363221803071195,0.3101130103922908,0.5871123364737942,3.01954964046536,3.3763113895655534
PURE_MC,0.1,12.0,0.005049336929118347,0.3159802793726161,0.5871123364737942,3.030199515497996,3.3763113895655534
PURE_MC,0.1,15.0,0.004947214842527567,0.31600408357764703,0.5871123364737942,2.6461964930506947,3.3763113895655534
PURE_MC,0.1,20.0,0.0047513150137398685,0.29572740465985675,0.5871123364737942,2.3190650581233614,3.3763113895655534
PURE_MC,0.1,25.0,0.004543165694835382,0.2984332931400147,0.5871123364737942,2.0401171458207648,3.3763113895655534
PURE_MC,0.1,30.0,0.004403017453800947,0.28793937496112404,0.5871123364737942,1.818917297004579,3.3763113895655534
PURE_MC,0.15,1.0,0.005177723616813484,-0.0028625511447145143,0.5715378635468321,8.806476745565774,3.9546433320304932
PURE_MC,0.15,1.5,0.005278943037333329,0.08677516908267316,0.5715378635468321,5.36753499300209,3.9546433320304932
PURE_MC,0.15,2.0,0.005368315577038753,0.1252078525428891,0.5715378635468321,4.2563988372014565,3.9546433320304932
PURE_MC,0.15,3.0,0.005444542775017874,0.23142114023126362,0.5715378635468321,0.898048553212852,3.9546433320304932
PURE_MC,0.15,4.0,0.005491764923228361,0.29032592160806125,0.5715378635468321,1.3290928355000151,3.9546433320304932
PURE_MC,0.15,5.0,0.005444719281773643,0.29332722381216686,0.5715378635468321,3.0275150512605036,3.9546433320304932
PURE_MC,0.15,6.0,0.005402255194484219,0.30562017143205183,0.5715378635468321,3.501462380615485,3.9546433320304932
PURE_MC,0.15,7.0,0.005363311681870472,0.29324402554379897,0.5715378635468321,3.7441852301035867,3.9546433320304932
PURE_MC,0.15,8.0,0.00532656611364305,0.31693773902273437,0.5715378635468321,3.9564299312247058,3.9546433320304932
PURE_MC,0.15,9.0,0.005320361150936505,0.3073902523510847,0.5715378635468321,3.8023609257486473,3.9546433320304932
PURE_MC,0.15,10.0,0.005284126707912811,0.29911303800483663,0.5715378635468321,3.5567595003864705,3.9546433320304932
PURE_MC,0.15,12.0,0.005190262969754342,0.3026638134076967,0.5715378635468321,3.594278144605376,3.9546433320304932
PURE_MC,0.15,15.0,0.005075030456358443,0.3073850877808755,0.5715378635468321,3.2182955557382793,3.9546433320304932
PURE_MC,0.15,20.0,0.0048571896677168745,0.2790193034547599,0.5715378635468321,2.9418231037494285,3.9546433320304932
PURE_MC,0.15,25.0,0.004632639069134057,0.2870644418822848,0.5715378635468321,2.671530369945109,3.9546433320304932
PURE_MC,0.15,30.0,0.004488924057795984,0.27686178669155154,0.5715378635468321,2.4286610301435614,3.9546433320304932
PURE_MC,0.2,1.0,0.00552000328205153,-0.007721354068523881,0.5550963069647304,10.629155857197322,4.570460679628066
PURE_MC,0.2,1.5,0.0054973165212733885,0.08784300956069269,0.5550963069647304,6.072660181764774,4.570460679628066
PURE_MC,0.2,2.0,0.00553499597811687,0.12994791982839704,0.5550963069647304,4.368000947829641,4.570460679628066
PURE_MC,0.2,3.0,0.005611831901684592,0.2286897320308159,0.5550963069647304,1.0128037544890818,4.570460679628066
PURE_MC,0.2,4.0,0.005640231265048732,0.28111560686295506,0.5550963069647304,1.355931027102969,4.570460679628066
PURE_MC,0.2,5.0,0.0055687545859242436,0.28501201854131264,0.5550963069647304,3.22183043172951,4.570460679628066
PURE_MC,0.2,6.0,0.005518636704824571,0.29999211134008513,0.5550963069647304,3.792405171590033,4.570460679628066
PURE_MC,0.2,7.0,0.005472502376831395,0.29047777743097336,0.5550963069647304,4.1230588643653485,4.570460679628066
PURE_MC,0.2,8.0,0.005426425801096187,0.30984898496704527,0.5550963069647304,4.414640974052503,4.570460679628066
PURE_MC,0.2,9.0,0.005418676492418288,0.30554573331594587,0.5550963069647304,4.323212620483387,4.570460679628066
PURE_MC,0.2,10.0,0.0053783615070224335,0.29336646743422556,0.5550963069647304,4.107140766703489,4.570460679628066
PURE_MC,0.2,12.0,0.005276620311174235,0.2939308424510876,0.5550963069647304,4.164926237223275,4.570460679628066
PURE_MC,0.2,15.0,0.0051438870320069975,0.30149315384209474,0.5550963069647304,3.832360108172068,4.570460679628066
PURE_MC,0.2,20.0,0.004906126360748643,0.27274985507636,0.5550963069647304,3.5972054322308815,4.570460679628066
PURE_MC,0.2,25.0,0.004662562863494923,0.2837894725951912,0.5550963069647304,3.356536740149919,4.570460679628066
PURE_MC,0.2,30.0,0.004520604373874445,0.2729833410611752,0.5550963069647304,3.062037546244363,4.570460679628066
PURE_MC,0.25,1.0,0.005741453332028407,-0.07714514169075497,0.5087083832483913,18.192950439872096,6.020845393349672
PURE_MC,0.25,1.5,0.00583154554951521,0.09390287955908755,0.5087083832483913,7.746826703842141,6.020845393349672
PURE_MC,0.25,2.0,0.005820240443496301,0.12996098427333733,0.5087083832483913,5.366991375715455,6.020845393349672
PURE_MC,0.25,3.0,0.005884843805479424,0.2224997382720346,0.5087083832483913,1.8847844223654886,6.020845393349672
