Expiry,-0.035,-0.03,-0.025,-0.02,-0.015,-0.01,-0.0075,-0.005,-0.0025,0.0,0.0025,0.005,0.0075,0.01,0.015,0.02,0.025,0.03,0.035
1.0,0.012021,0.010931,0.009812,0.008661,0.007477,0.00627,0.005675,0.005119,0.004675,0.004488,0.004661,0.005095,0.005646,0.006237,0.007439,0.008619,0.009766,0.010881,0.011968
1.5,0.01104,0.01011,0.009162,0.008198,0.007226,0.006282,0.005852,0.005492,0.005262,0.00523,0.005416,0.005766,0.006209,0.006697,0.00772,0.008749,0.009761,0.010752,0.011721
2.0,0.00977,0.009011,0.008245,0.007482,0.006741,0.006076,0.005811,0.005628,0.005562,0.005636,0.005841,0.006145,0.006512,0.006915,0.007769,0.008642,0.009509,0.010363,0.011202
3.0,0.008899,0.008309,0.007729,0.007172,0.006668,0.006275,0.006151,0.006092,0.006111,0.006209,0.006379,0.006607,0.006877,0.007177,0.007829,0.008513,0.009206,0.009898,0.010584
4.0,0.008328,0.00786,0.007413,0.007004,0.006663,0.006439,0.006388,0.006387,0.006438,0.006541,0.006688,0.006875,0.007091,0.00733,0.007855,0.008413,0.008987,0.009566,0.010145
5.0,0.007816,0.007461,0.007135,0.006857,0.006653,0.006553,0.006552,0.006586,0.006655,0.006756,0.006888,0.007044,0.007222,0.007417,0.007843,0.0083,0.008774,0.009256,0.009742
6.0,0.007543,0.007252,0.006996,0.00679,0.006654,0.006611,0.006629,0.006675,0.006747,0.006845,0.006965,0.007105,0.007261,0.007431,0.007803,0.008203,0.00862,0.009047,0.009478
7.0,0.007288,0.007063,0.006873,0.006733,0.006656,0.006656,0.006687,0.006738,0.00681,0.0069,0.007007,0.007129,0.007265,0.007411,0.007729,0.008072,0.008432,0.008802,0.009178
8.0,0.007202,0.007006,0.006846,0.006734,0.006681,0.006697,0.006733,0.006786,0.006857,0.006943,0.007045,0.007159,0.007286,0.007421,0.007717,0.008036,0.00837,0.008715,0.009066
9.0,0.007107,0.006939,0.006807,0.00672,0.006689,0.006719,0.006758,0.006812,0.006882,0.006965,0.007061,0.007169,0.007287,0.007413,0.007687,0.007983,0.008294,0.008615,0.008942
10.0,0.007042,0.006885,0.006763,0.006685,0.006658,0.006689,0.006727,0.006779,0.006845,0.006924,0.007015,0.007117,0.007229,0.007349,0.007609,0.00789,0.008187,0.008493,0.008807
12.0,0.006869,0.00675,0.006663,0.006616,0.006613,0.006658,0.006699,0.006751,0.006814,0.006888,0.006971,0.007064,0.007163,0.00727,0.007502,0.007751,0.008014,0.008287,0.008567
15.0,0.006712,0.006612,0.006542,0.006506,0.00651,0.006554,0.006592,0.006639,0.006696,0.006762,0.006836,0.006918,0.007007,0.007101,0.007307,0.007529,0.007765,0.00801,0.008262
20.0,0.006429,0.006359,0.006314,0.006298,0.006312,0.006358,0.006393,0.006435,0.006484,0.006541,0.006603,0.006672,0.006746,0.006825,0.006996,0.007182,0.007379,0.007585,0.007798
25.0,0.006209,0.006149,0.006112,0.006102,0.00612,0.006167,0.006201,0.006242,0.006289,0.006343,0.006402,0.006467,0.006537,0.006611,0.006771,0.006945,0.007129,0.007322,0.007521
30.0,0.006084,0.006037,0.006012,0.006011,0.006034,0.006084,0.006118,0.006158,0.006203,0.006254,0.006311,0.006372,0.006437,0.006506,0.006656,0.006817,0.006988,0.007167,0.007351
